 ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
0 102.23 -184.91999999999996 -16.23995 -51.278099 22630 -355.9198719151013 -270.77101273923506 -43.907 8204496.17 470281.35
1 104.06 -188.26 -16.238711 -51.278104 22630 -350.4405469290829 -265.476774533095 -40.613 8204633.21 470280.57
2 97.6 -189.39 -16.237479999999998 -51.278101 22630 -341.4621898781426 -256.6928770388649 -33.802 8204769.33 470280.68
3 93.54 -189.89999999999998 -16.236255 -51.278096000000005 22630 -332.8746652685037 -248.3025458402873 -27.371 8204904.84 470281.09
4 98.08 -192.26 -16.235035999999997 -51.278085 22630 -331.3292130300845 -246.96048607842425 -27.97 8205039.73 470282.09
5 97.53 -195.30999999999995 -16.233825 -51.278071000000004 22630 -333.3275673751074 -249.16464687667957 -32.097 8205173.7 470283.4
6 95.16 -195.17999999999995 -16.232619 -51.278054 22630 -330.36571689674764 -246.4112167265897 -31.253 8205307.06 470285.0
7 98.0 -193.58000000000004 -16.231416 -51.278043 22630 -324.3425674147978 -240.58884895714183 -27.345 8205440.11 470286.0
8 102.48 -190.17999999999995 -16.230210999999997 -51.278032 22630 -315.3565183201036 -231.80414141124908 -20.479 8205573.47 470287.01
9 104.43 -183.39 -16.229004999999997 -51.278024 22630 -303.42535128488555 -220.07071654544188 -10.669 8205706.83 470287.72
10 100.77 -176.49 -16.227792 -51.278013 22630 -293.0506135472584 -209.89850575933062 -2.4290000000000003 8205841.11 470288.72
11 105.55 -171.40999999999997 -16.226575 -51.278003999999996 22630 -289.59701751047083 -206.6443829420335 -1.1159999999999999 8205975.69 470289.43
12 112.47 -166.97000000000003 -16.225353 -51.277996 22630 -288.66954771879864 -205.9172660838257 -2.339 8206110.89 470290.14
13 114.48 -162.38 -16.22413 -51.277993 22630 -285.356842046093 -202.7977145858036 -1.179 8206246.09 470290.25
14 114.18 -157.01 -16.2229 -51.277993 22630 -278.87140431932727 -196.5032570156704 3.138 8206382.21 470290.07
15 112.38 -152.57000000000005 -16.221667 -51.27799 22630 -275.83111039094433 -193.65786250098404 4.006 8206518.64 470290.18
16 112.05 -152.5 -16.220436 -51.277988 22630 -284.8825940858965 -202.90381994158136 -7.212999999999999 8206654.77 470290.29
17 109.49 -160.14999999999998 -16.219217 -51.277982 22630 -305.89294323114274 -224.11048278391542 -30.37 8206789.66 470290.7
18 113.27 -171.32000000000005 -16.218017 -51.277974 22630 -316.0506499508244 -234.46505195903347 -42.638999999999996 8206922.4 470291.41
19 119.39 -181.77999999999997 -16.216832999999998 -51.277965 22630 -306.1966594269904 -224.80531312658124 -34.867 8207053.3 470292.12
20 123.5 -189.94000000000005 -16.215664 -51.27796 22630 -288.15811336045033 -206.95535425534294 -18.887 8207182.66 470292.54
21 128.75 -198.04999999999995 -16.214503 -51.277952 22630 -274.51333661266915 -193.50145870022797 -7.285 8207311.1 470293.26
22 131.43 -206.46000000000004 -16.213355 -51.277943 22630 -277.07792574389975 -196.25475811705738 -11.868 8207438.01 470293.98
23 133.17 -215.86 -16.212225 -51.277935 22630 -276.6169768857075 -195.97989459147632 -13.395999999999999 8207563.07 470294.7
24 138.68 -224.57000000000005 -16.211103 -51.277927000000005 22630 -261.7038386598723 -181.2515221272886 -0.457 8207687.2 470295.42
25 149.81 -232.14999999999998 -16.209994000000002 -51.277929 22630 -252.1805098262872 -171.89664477828146 7.112 8207809.81 470294.96
26 157.34 -238.96000000000004 -16.208892000000002 -51.277935 22630 -245.75309606118543 -165.6331892154586 11.594000000000001 8207931.79 470294.2
27 159.11 -245.05999999999995 -16.207797 -51.277938 22630 -236.85229236071973 -156.89865190357017 18.565 8208052.86 470293.74
28 162.15 -251.14999999999998 -16.206705 -51.277938 22630 -224.2406654676447 -144.4563167532272 29.253 8208173.61 470293.57
29 164.53 -257.41999999999996 -16.205619 -51.277935 22630 -208.99974902644686 -129.3875600773602 42.581 8208293.76 470293.71
30 166.19 -264.69000000000005 -16.204539 -51.277924 22630 -188.70398563229378 -109.27363491411077 60.977 8208413.29 470294.73
31 169.76 -273.04999999999995 -16.203464 -51.277915 22630 -165.75801531721564 -86.50514371588349 82.03200000000001 8208532.2 470295.46
32 175.84 -281.13 -16.202394 -51.277904 22630 -155.96287744343832 -76.89021881330791 89.947 8208650.5 470296.49
