ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
146.91 -344.87 -16.200454999999998 -51.240482 22710 -218.81808027727203 -188.04359741995913 38.5 8208870.03 474296.07
126.55 -347.49 -16.199453 -51.240418 22710 -231.49524524032583 -200.95844058917345 24.081 8208980.97 474302.76
112.11 -347.61 -16.198447 -51.240349 22710 -225.90790572573164 -195.61652368688695 27.924 8209092.21 474310.06
99.24 -345.90999999999997 -16.197429999999997 -51.240277 22710 -202.87002136660237 -172.8291665998451 49.199 8209204.68 474317.64
89.79 -343.98 -16.196405 -51.240221000000005 22710 -183.34388978021974 -153.53363132917107 66.941 8209318.07 474323.45
84.98 -341.97 -16.195369 -51.24018 22710 -177.66477675442064 -148.0689687515164 70.811 8209432.68 474327.77
94.55 -342.77 -16.194328 -51.240159999999996 22710 -171.0139209790009 -141.60488806171668 75.634 8209547.91 474329.71
141.06 -344.38 -16.193282999999997 -51.240159999999996 22710 -83.00141453662576 -53.75476084415118 161.806 8209663.45 474329.58
164.14 -346.38 -16.192235999999998 -51.240177 22710 -82.51761934665214 -53.4122800610713 160.438 8209779.28 474327.66
157.52 -347.91999999999996 -16.191183 -51.240213 22710 -140.76219934758217 -111.77409848575984 100.324 8209895.73 474323.66
144.29 -347.30999999999995 -16.19013 -51.240255 22710 -175.54758073219267 -146.6696395146591 63.667 8210012.18 474319.07
123.29 -344.85 -16.189067 -51.240299 22710 -171.48525592058706 -142.71562020696786 65.837 8210129.86 474314.18
116.01 -340.86 -16.187994 -51.240334999999995 22710 -147.10463355228902 -118.45540686278176 88.314 8210248.46 474310.19
125.95 -334.32000000000005 -16.186911 -51.240365999999995 22710 -90.96442502584244 -62.44432558855402 142.533 8210368.3 474306.78
156.12 -325.55999999999995 -16.185814 -51.240382000000004 22710 -37.401403058230756 -9.030478697868944 194.15599999999998 8210489.67 474304.86
206.65 -318.98 -16.184703 -51.240384999999996 22710 -31.397493120087262 -3.195551702733752 198.201 8210612.57 474304.41
194.75 -313.86 -16.183581 -51.240365999999995 22710 -58.14674193154818 -30.14421794096748 169.482 8210736.71 474306.35
155.81 -308.54999999999995 -16.18245 -51.240334999999995 22710 -100.71073659744363 -72.92309297459988 124.93799999999999 8210861.77 474309.47
127.22 -303.65 -16.181307999999998 -51.240302 22710 -140.91706442935032 -113.349540002273 82.73299999999999 8210988.07 474312.88
118.99 -299.53999999999996 -16.180161 -51.240282 22710 -159.00132184142348 -131.63701100788577 62.635 8211114.97 474314.81
126.56 -295.90999999999997 -16.179006 -51.240277 22710 -156.3372534479613 -129.1597188405986 63.265 8211242.8 474315.26
130.36 -293.11 -16.177847 -51.240285 22710 -159.7028549933022 -132.69464536252437 57.855 8211370.93 474314.22
123.57 -290.77 -16.176689 -51.240307 22710 -162.02606335488906 -135.16928759412016 53.482 8211499.05 474311.69
118.02 -289.44000000000005 -16.175528 -51.240338 22710 -172.24285902806707 -145.52729302437075 41.207 8211627.49 474308.27
104.61 -289.97 -16.174369 -51.240365999999995 22710 -198.11770951921147 -171.54651279498927 13.28 8211755.62 474305.15
86.47 -289.30999999999995 -16.173214 -51.24038 22710 -238.24004932566044 -211.83065894156834 -28.884 8211883.44 474303.52
76.2 -284.55999999999995 -16.172056 -51.24038 22710 -159.04296742784507 -132.81358017919777 48.272 8212011.57 474303.37
100.95 -276.4 -16.170892000000002 -51.240363 22710 -37.140644888817434 -11.113496807309303 168.13 8212140.32 474305.0
118.99 -266.65999999999997 -16.169719 -51.240341 22710 -81.95586958788981 -56.139344835015706 121.258 8212269.99 474307.22
129.97 -256.08000000000004 -16.168533 -51.240313 22710 -99.10780503484595 -73.51128746539128 102.027 8212401.2 474310.04
152.15 -244.59000000000003 -16.167339000000002 -51.240274 22710 -98.5724863362366 -73.2114388911646 100.473 8212533.33 474314.04
181.46 -235.47000000000003 -16.166128 -51.240216 22710 -96.75361593535474 -71.65560507583088 100.181 8212667.3 474320.12
204.01 -227.67999999999995 -16.164914000000003 -51.240157 22710 -95.8206494029078 -70.98612917485474 98.99799999999999 8212801.59 474326.2
212.34 -220.65999999999997 -16.163695 -51.240096 22710 -93.12508631017779 -68.55852161802663 99.569 8212936.49 474332.58
206.06 -214.16999999999996 -16.162475 -51.240038 22710 -90.96852726637758 -66.66618456248807 99.6 8213071.38 474338.65
201.63 -206.60000000000002 -16.161253 -51.239985 22710 -77.15571073936118 -53.11108526950002 111.28 8213206.59 474344.14
198.78 -198.30999999999995 -16.160028 -51.239940999999995 22710 -47.53076276748254 -23.73348206152869 138.764 8213342.1 474348.73
194.75 -190.35000000000002 -16.1588 -51.239905 22710 -12.982561361303254 10.577612882614346 171.16299999999998 8213477.92 474352.43
191.51 -182.60000000000002 -16.15757 -51.23988 22710 12.691814900880331 36.02861457364696 194.679 8213614.04 474354.95
184.11 -173.39999999999998 -16.156336 -51.239874 22710 36.429916359386766 59.567977280438924 216.24599999999998 8213750.47 474355.38
177.82 -164.32000000000005 -16.155097 -51.239891 22710 59.547564048707244 82.51445579019301 237.174 8213887.51 474353.44
173.99 -157.26 -16.153858 -51.239934999999996 22710 78.01312009496044 100.84449070178451 253.43900000000002 8214024.54 474348.53
169.36 -150.55999999999995 -16.152620000000002 -51.24001 22710 89.3160209468709 112.0510894654611 262.529 8214161.58 474340.35
165.99 -145.42999999999995 -16.151383 -51.240105 22710 97.43657672141276 120.1007528947998 268.434 8214298.3 474330.09
161.29 -140.32000000000005 -16.150147 -51.240213 22710 107.4446476691333 130.05568843564774 276.221 8214435.02 474318.35
157.12 -133.87 -16.148908 -51.24031 22710 118.87222099695813 141.41540896136027 285.427 8214572.05 474307.8
153.86 -127.20000000000005 -16.14767 -51.240388 22710 119.67308053526995 142.12357997976238 284.014 8214709.08 474299.32
149.75 -119.45000000000005 -16.146428 -51.240444000000004 22710 109.00100795631855 131.32982394741458 271.132 8214846.42 474293.22
144.41 -111.53999999999996 -16.145186 -51.240471 22710 86.80302702043423 108.9745115132275 246.735 8214983.77 474290.09
138.8 -103.89999999999998 -16.143945000000002 -51.24048 22710 70.16229503036865 92.15149232774775 227.903 8215121.12 474289.04
135.51 -96.94000000000005 -16.142703 -51.24048 22710 66.03224648344411 87.8284784265507 221.585 8215258.47 474288.88
134.11 -90.33000000000004 -16.141459 -51.240471 22710 78.04565900302578 99.63782176494735 231.40900000000002 8215396.12 474289.61
133.87 -84.49000000000001 -16.140220000000003 -51.240446 22710 89.36788316223522 110.7354717613573 240.558 8215533.17 474292.12
135.4 -78.87 -16.138984 -51.240402 22710 114.54541938980546 135.66391798600384 263.575 8215669.91 474296.71
136.0 -72.30000000000001 -16.137747 -51.240349 22710 145.00360179584865 165.8622122509517 291.876 8215806.65 474302.2
128.53 -65.57 -16.136509 -51.240302 22710 174.3199569603524 194.92543817615467 319.028 8215943.7 474307.09
121.37 -60.379999999999995 -16.135272 -51.240274 22710 196.81096704748788 217.18872876702233 339.352 8216080.43 474309.9
117.77 -55.31 -16.134036 -51.240277 22710 204.49632194029527 224.68558320998702 344.858 8216217.17 474309.44
111.07 -49.45999999999998 -16.132803 -51.24031 22710 181.68472898840366 201.7250571102241 319.86 8216353.59 474305.72
107.9 -45.19 -16.131575 -51.240371 22710 185.89552641145835 205.82354074572885 321.883 8216489.4 474299.02
108.14 -42.410000000000025 -16.13035 -51.240458000000004 22710 170.48614010878114 190.33420919869184 304.281 8216624.89 474289.66
112.75 -41.079999999999984 -16.129134 -51.240552 22710 158.7694562494112 178.54968361516086 290.383 8216759.46 474279.4
123.08 -44.18000000000001 -16.127925 -51.240635 22710 158.6436492497701 178.34294275582155 288.095 8216893.11 474270.34
127.07 -47.129999999999995 -16.126728 -51.240708000000005 22710 142.89901601587565 162.50494915337185 270.212 8217025.54 474262.46
119.85 -48.360000000000014 -16.125539 -51.240752 22710 128.83050453859852 148.3087630225325 254.03099999999998 8217157.04 474257.55
115.82 -47.25 -16.124356 -51.240766 22710 119.43005574429625 138.7421518850329 242.54 8217287.93 474255.92
107.66 -41.45999999999998 -16.123178 -51.240749 22710 110.91490341645827 130.02257529405375 231.956 8217418.22 474257.55
102.6 -36.839999999999975 -16.121995000000002 -51.240719 22710 126.36895041623418 145.25357556731984 245.33700000000002 8217549.12 474260.66
99.19 -34.089999999999975 -16.120805999999998 -51.240688 22710 132.65671191678717 151.3174248163231 249.542 8217680.63 474263.77
111.25 -24.5 -16.120025 -51.235704999999996 22720 145.47027238282124 157.61558042191245 262.95599999999996 8217767.59 474796.53
103.78 -19.870000000000005 -16.121178 -51.235713 22720 146.93925880732553 159.27450259499506 266.453 8217640.07 474795.78
106.98 -17.30000000000001 -16.122328 -51.235724 22720 155.3382627850978 167.86648186443614 276.874 8217512.86 474794.74
101.04 -17.95999999999998 -16.123480999999998 -51.235741 22720 171.3596877558552 184.08838657438451 294.92 8217385.35 474793.11
97.54 -19.670000000000016 -16.124631 -51.235758000000004 22720 178.45476836053808 191.3836554184527 304.035 8217258.13 474791.47
98.29 -22.689999999999998 -16.125778 -51.235774 22720 191.7999450967858 204.92856634816144 319.395 8217131.23 474789.83
104.24 -26.25999999999999 -16.126917000000002 -51.235785 22720 176.83353733023526 190.15338863426678 306.431 8217005.25 474788.79
106.53 -28.25 -16.128056 -51.235771 22720 188.74417989315344 202.2232267732602 320.35400000000004 8216879.27 474790.42
101.19 -29.689999999999998 -16.129192 -51.235735 22720 203.219927603507 216.82929510551315 336.846 8216753.6 474794.42
98.15 -31.75 -16.130328 -51.235688 22720 213.74536280594634 227.47063922335195 349.392 8216627.94 474799.62
97.84 -33.839999999999975 -16.131467 -51.235646 22720 215.80293775782422 229.65177589533533 353.473 8216501.96 474804.22
98.6 -35.80000000000001 -16.132603 -51.235605 22720 217.22864610595062 231.20071189695702 356.917 8216376.3 474808.81
98.15 -37.02999999999997 -16.133742 -51.23558 22720 216.1428541715309 230.2598380003605 357.848 8216250.32 474811.63
98.29 -39.05000000000001 -16.134881 -51.235563 22720 211.60937879393992 225.88195881945495 355.32800000000003 8216124.34 474813.56
101.19 -42.25 -16.136017000000002 -51.235552 22720 202.45907617482447 216.89401129881716 348.184 8215998.67 474814.89
104.7 -46.579999999999984 -16.137153 -51.235569 22720 162.9646819126419 177.5976201800186 310.685 8215872.99 474813.25
107.9 -49.94999999999999 -16.138284 -51.235608 22720 150.89099313536633 165.749489929341 300.58799999999997 8215747.93 474809.24
107.14 -52.51999999999998 -16.139417 -51.235669 22720 151.292236475354 166.40528672941429 302.962 8215622.56 474802.85
101.19 -53.329999999999984 -16.140547 -51.235746 22720 158.9669278170625 174.3555821601882 312.598 8215497.49 474794.67
104.24 -57.389999999999986 -16.141678 -51.235827 22720 168.9326998345814 184.60043766685055 324.524 8215372.42 474786.2
113.08 -64.63999999999999 -16.142797 -51.235915999999996 22720 171.09037666463615 187.04613090589456 328.619 8215248.58 474776.84
119.18 -73.19999999999999 -16.143906 -51.23601 22720 163.55384036670284 179.80294455740483 322.998 8215125.97 474766.89
124.36 -81.73000000000002 -16.145003 -51.236105 22720 149.980929589145 166.52175846958895 311.32099999999997 8215004.59 474756.93
130.15 -91.21000000000004 -16.146082999999997 -51.236191 22720 139.65500501121286 156.47426965848555 302.865 8214885.05 474747.86
137.77 -101.24000000000001 -16.147156 -51.236274 22720 131.45377312512835 148.5465545888746 296.52 8214766.44 474739.09
144.32 -110.51999999999998 -16.148214000000003 -51.236349 22720 132.3406278258963 149.694197019504 299.242 8214649.36 474731.2
149.05 -118.45000000000005 -16.149261 -51.236424 22720 132.63603351765735 150.24852522280082 301.353 8214533.51 474723.32
