ALTURA GPSALT LAT LONG Line MAGIGRF X Y
102.23 614.92 -16.23995 -51.278099 22630 -43.907 8204496.17 470281.35
104.06 618.26 -16.238711 -51.278104 22630 -40.613 8204633.21 470280.57
97.6 619.39 -16.23748 -51.278101 22630 -33.802 8204769.33 470280.68
93.54 619.9 -16.236255 -51.278096 22630 -27.371 8204904.84 470281.09
98.08 622.26 -16.235036 -51.278085 22630 -27.97 8205039.73 470282.09
97.53 625.31 -16.233825 -51.278071 22630 -32.097 8205173.7 470283.4
95.16 625.18 -16.232619 -51.278054 22630 -31.253 8205307.06 470285.0
98.0 623.58 -16.231416 -51.278043 22630 -27.345 8205440.11 470286.0
102.48 620.18 -16.230211 -51.278032 22630 -20.479 8205573.47 470287.01
104.43 613.39 -16.229005 -51.278024 22630 -10.669 8205706.83 470287.72
100.77 606.49 -16.227792 -51.278013 22630 -2.429 8205841.11 470288.72
105.55 601.41 -16.226575 -51.278004 22630 -1.116 8205975.69 470289.43
112.47 596.97 -16.225353 -51.277996 22630 -2.339 8206110.89 470290.14
114.48 592.38 -16.22413 -51.277993 22630 -1.179 8206246.09 470290.25
114.18 587.01 -16.2229 -51.277993 22630 3.138 8206382.21 470290.07
112.38 582.57 -16.221667 -51.27799 22630 4.006 8206518.64 470290.18
112.05 582.5 -16.220436 -51.277988 22630 -7.213 8206654.77 470290.29
109.49 590.15 -16.219217 -51.277982 22630 -30.37 8206789.66 470290.7
113.27 601.32 -16.218017 -51.277974 22630 -42.639 8206922.4 470291.41
119.39 611.78 -16.216833 -51.277965 22630 -34.867 8207053.3 470292.12
123.5 619.94 -16.215664 -51.27796 22630 -18.887 8207182.66 470292.54
128.75 628.05 -16.214503 -51.277952 22630 -7.285 8207311.1 470293.26
131.43 636.46 -16.213355 -51.277943 22630 -11.868 8207438.01 470293.98
133.17 645.86 -16.212225 -51.277935 22630 -13.396 8207563.07 470294.7
138.68 654.57 -16.211103 -51.277927 22630 -0.457 8207687.2 470295.42
149.81 662.15 -16.209994 -51.277929 22630 7.112 8207809.81 470294.96
157.34 668.96 -16.208892 -51.277935 22630 11.594 8207931.79 470294.2
159.11 675.06 -16.207797 -51.277938 22630 18.565 8208052.86 470293.74
162.15 681.15 -16.206705 -51.277938 22630 29.253 8208173.61 470293.57
164.53 687.42 -16.205619 -51.277935 22630 42.581 8208293.76 470293.71
166.19 694.69 -16.204539 -51.277924 22630 60.977 8208413.29 470294.73
